"","joblinks.1.500.","soft_skills"
"14","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DsE7ViekIsjp64t_8fXghHOV1s5s2e0k6cDP9wEyz_6p-NUqWdZZ8YCNaARchUhHnAB37yQFGtGMI0hx2DeHE2NbfLkQu7voRnV_3T7CNnSK4iVOPbrmEv-9iORHxz7eDeAHQq0M4jS3ZAhLBd4rpZXUdyjVKQDJiqUKuQTKk38VZJ8wutMgSDF2sCUXA2okGVDDOoc2lEEEK9JUtYVCoAkl8i_yaNzybEVOWxIXpaautn-kmB0T-ewODUIQOXn1Ay-UFN7r8dcpvIs2yu60nbSyMH9r3KlMo6UnOGswjTopeYGO5Det0jo5osizu58JfreMZN_ETNj4R6--sMLZWActlbXhs08_-nk711q5gPcsFzEp4PHTke248rtZqyUD1nVKxtYAqw5RIRRKBATTp8Sq-O2FwAZ-4=&p=5&sk=&fvj=0""","communication, experience, interpersonal, organization, problem solving, research, social"
"15","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AnD3J55xK83doUjs8gH5xDahqf_8utpDCB2FLeGffg4KCJYKDSE7QKNvTOVGhZj3NoceBBrDA1Wy0-KiQi68_jGXxZqzNkkHWByCc65ppDeNkTW_LwbARzEN-Hh_ygHhrnJQqCZXMqtucu6_DyomFiC_mhmNBK6bS2lGDRg1OYCNkiZxbOmDBW--M7IND1Nzn8ywv4fP1y1_K1Ht9ErTTEq5RJrEY3dHpLdHf5X59eI-iHpblTBsfYKWzsywvdVseqjU1vm42uY7iyULx-2g4Dhhhi8brrAO84sHlbBgUsZeZliwDTrhXT-voPNpjfiJ5H5Q008BMbcsxctLeGVFTykQf4h5VYZ-vg6bzTNtwkqi33fNgqm5wJYG51CxZ1zkUDmeVil7yzbxXLKuln2MsD9v6lXIlb0SI4TJHtKx0dHU77Gl3CcWC4&p=1&sk=&fvj=1""","communication, experience, management, motivated, presentation, research"
"16","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0B-UuMsP3mBWd3viLiPXhxwSz1MK4wT1ZQfxZO5nDPBzBgvNgeDGgN7FcRDQNwRJOT9guyugYWOKiR5f51BPtI2u17iyNTga_4vKws-Nstey5wigD2j4hL1IDQEk7wLKBF5QVxUqDgBoAsQh9wMw1seKabZbPmyCuUtUDs81RcqhBtnpXGdwnLP3ypNZzm18nZL3K0oXkG1XUi1fFQYkKaM_HghCaHYTr-yfPXV2EYWkxM8qm5Fk_Of0RYxbY3yg9lCnTEuEmRbUNw2wGdWZ7jtwgwcMHOEVz57Ry37GB14-bhJi8F0TGppOe1R3PVqLBibQW2XjZHbeGYEw4a_4NSngpZHZooeY4UnD5JjKVKPQlDgzyadGAeIFuWPJgH93Px-9Oyi9YuZlH0ZMzyZAbUMfCrGgw4WiXbKbdtiSMpk9LekBcHiuaSd1QVV8hqEoKfmPHuIQ9WQgYEpE2uE3JUPpwxrHtTwr0gsw0PUAtlds2kjuOwoFTcI7lhF5VPySgGzejsdgQgN-zvAJyCUGVXug1UN1UTp_t7KmBRuFHAVGiazsRtKrCX3zmSu4k76NwnLcCC8lipqlWbNzYE1zvCA&p=2&sk=&fvj=0""","assertive, collaborating, communication, competitive, experience, management, motivated, research, social, training, verbal communication"
"17","https://www.indeed.com//rc/clk?jk=c7f34525224cbd1c&fccid=43014b1412e0a7b6""","confident, experience, leadership, organization"
"18","https://www.indeed.com//rc/clk?jk=ebb4d307771efcb7&fccid=4e472f0102ed4265""",""
"19","https://www.indeed.com//rc/clk?jk=449386f51a4522b0&fccid=29a9af87de93d231""","communication, leadership, management, organization, planning, presentation, problem solving, research, social"
"20","https://www.indeed.com//rc/clk?jk=211eac3ddecec50b&fccid=d97bcd095644d57a""","experience"
"21","https://www.indeed.com//rc/clk?jk=edc7ce83d6709e4a&fccid=7683aaea1049b3a1""","social"
"22","https://www.indeed.com//rc/clk?jk=c11ceb79b9ec0d15&fccid=1fdd4363e391ed13""","research"
"23","https://www.indeed.com//rc/clk?jk=92129c003eae5306&fccid=7a3824693ee1074b""","dedicated, experience, research"
