"","SCHOOL","PROGRAM","DEGREE","ONLINE","ONCAMPUS","COUNTRY","STATE","CITY","DEPARTMENT","URL","skills"
"374","Villanova University","Master of Science in Analytics","M",TRUE,FALSE,"US","PA","Villanova","School of Business","http://taxandbusinessonline.villanova.edu/master-of-science-in-analytics","competitive, dedicated, experience, management, organization, social"
"375","Villanova University","Online Master of Business Administration","M",TRUE,FALSE,"US","PA","Villanova","School of Business","http://taxandbusinessonline.villanova.edu/master-of-business-administration","communication, competitive, dedicated, experience, facilitating, flexible, leadership, organization, research, training"
"376","Brown University","Big Data","D",FALSE,TRUE,"US","RI","Providence","Computer Science","http://cs.brown.edu/~kraskat/phd.html","management, research"
"377","College of Charleston","Data Science","B",FALSE,TRUE,"US","SC","Charleston","Computer Science","http://datascience.cofc.edu/","experience, organization, problem solving, research, social"
"378","Medical University of South Carolina","Master of Science in Health Informatics","M",TRUE,FALSE,"US","SC","Charleston","College of Health Professions","http://academicdepartments.musc.edu/chp/MSHI/","leadership, research"
"379","University of South Carolina-Columbia","Master of Applied Statistics","M",FALSE,TRUE,"US","SC","Columbia","Department of Statistics","http://www.sc.edu/stat_dist/mas.shtml","experience, leadership, organization, research, social"
"380","Dakota State University","Analytics","M",TRUE,TRUE,"US","SD","Madison","Business and Information Systems","http://www.dsu.edu/msa/","communication, experience, management, organization, research, social, training"
"381","South Dakota State University","Computational Science and Statistics","D",FALSE,TRUE,"US","SD","Brookings","Mathematics and Statistics","http://www.sdstate.edu/mathstat/grad/css-phd.cfm",""
"382","South Dakota State University","Data Science","M",FALSE,TRUE,"US","SD","Brookings","Mathematics and Statistics","http://www.sdstate.edu/mathstat/grad/masters-in-data-science.cfm","management, organization, research, social"
"383","Austin Peay State University","Professional Science Master's in Data Management and Analysis","M",FALSE,TRUE,"US","TN","Clarksville","Department of Computer Science and Information Technology","http://www.apsu.edu/csci/psm-information","communication, experience, leadership, social, team player"
"384","Austin Peay State University","Professional Science Master's Degree in Predictive Analytics","M",FALSE,TRUE,"US","TN","Clarksville","Department of Mathematics and Statistics","https://www.apsu.edu/csci/psm-information","communication, experience, leadership, social, team player"
